,branch_ins,variance,College,Branch
68,1154124,1464493.174242424,IIT Ropar,"Mathematics and  Computing(4 Years, B. Tech)"
52,1084110,1513092.1698924734,IIT Jodhpur,"Computer Science and  Engineering(4 Years, B. Tech)"
82,1044198,1527428.25,IIT Delhi,"Energy Engineering (4 Years, B. Tech)"
118,1165223,1541746.9696969695,IIT (BHU) Varanasi,"Electrical Engineering with M. Tech. in Power Electronics(5 Years, B. Tech- M. Tech Dual Deg.)"
75,1064121,1570581.6838235294,IIT Kharagpur,"Instrumentation Engineering(4 Years, B. Tech)"
106,1204110,1581607.923809524,IIT Palakkad,"Computer Science and  Engineering(4 Years, B. Tech)"
155,1204187,1625592.6727272726,IIT Palakkad,"Data Science and  Engineering (4 Years, B. Tech)"
115,1234110,1680108.8066666666,IIT Dharwad,"Computer Science and  Engineering(4 Years, B. Tech)"
79,1094202,1719761.3142857142,IIT Kanpur,"Economics(4 Years, Bachelor of Science)"
72,1164113,1751260.4856711915,IIT (BHU) Varanasi,"Electronics Engineering(4 Years, B. Tech)"
84,1094107,1751583.470653378,IIT Kanpur,"Chemical Engineering (4 Years, B. Tech)"
74,1024109,1770676.943590869,IIT Bombay,"Civil Engineering (4 Years, B. Tech)"
99,1164111,1842172.2858585862,IIT (BHU) Varanasi,"Electrical Engineering (4 Years, B. Tech)"
61,1124110,1896589.0837789662,IIT Patna,"Computer Science and  Engineering(4 Years, B. Tech)"
76,1074118,1898564.7472527474,IIT Hyderabad,"Engineering Science (4 Years, B. Tech)"
130,1105201,1905165.2000000002,IIT Madras,"Aerospace Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
85,1084188,2093896.4210526317,IIT Jodhpur,"Artificial Intelligence and  Data Science (4 Years, B. Tech)"
146,1014111,2106219.111111111,IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)"
91,1114111,2110209.8161764704,IIT Gandhinagar,"Electrical Engineering (4 Years, B. Tech)"
126,1064202,2135032.2318840586,IIT Kharagpur,"Economics(4 Years, Bachelor of Science)"
93,1045210,2155977.4379084967,IIT Delhi,"Chemical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
88,1044109,2264254.334440753,IIT Delhi,"Civil Engineering (4 Years, B. Tech)"
98,1224110,2267154.714285714,IIT Jammu,"Computer Science and  Engineering(4 Years, B. Tech)"
55,1044117,2280100.8623188403,IIT Delhi,"Engineering Physics (4 Years, B. Tech)"
171,1074191,2483945.0,IIT Hyderabad,"Biomedical Engineering(4 Years, B. Tech)"
148,1234124,2514928.3974358975,IIT Dharwad,"Mathematics and  Computing(4 Years, B. Tech)"
80,1054111,2549315.2862903224,IIT Indore,"Electrical Engineering (4 Years, B. Tech)"
147,1094103,2608743.5151515147,IIT Kanpur,"Biological Sciences and  Bioengineering (4 Years, B. Tech)"
227,1114193,2658538.629166667,IIT Gandhinagar,"Materials Engineering(4 Years, B. Tech)"
116,1184110,2674760.7333333334,IIT Bhilai,"Computer Science and  Engineering(4 Years, B. Tech)"
120,1124208,2678638.8138528136,IIT Patna,"Mathematics and  Computing(4 Years, Bachelor of Science)"
64,1105207,2704383.5588235296,IIT Madras,"Biological Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
37,1104125,2743174.4422708615,IIT Madras,"Mechanical Engineering(4 Years, B. Tech)"
81,1105227,2864612.879569893,IIT Madras,"Engineering Design (5 Years, B. Tech - M. Tech Dual Deg.)"
