,branch_ins,median,College,Branch
57,1024107,1924.0,IIT Bombay,"Chemical Engineering (4 Years, B. Tech)"
62,1024202,1926.0,IIT Bombay,"Economics(4 Years, Bachelor of Science)"
60,1134111,1947.0,IIT Roorkee,"Electrical Engineering (4 Years, B. Tech)"
63,1165254,1951.5,IIT (BHU) Varanasi,"Mathematics and  Computing(5 Years, B. Tech - M. Tech Dual Deg.)"
24,1024101,1981.0,IIT Bombay,"Aerospace Engineering(4 Years, B. Tech)"
66,1174116,2188.0,IIT Guwahati,"Electronics and  Electrical Engineering (4 Years, B. Tech)"
48,1044107,2206.0,IIT Delhi,"Chemical Engineering (4 Years, B. Tech)"
53,1074111,2222.0,IIT Hyderabad,"Electrical Engineering (4 Years, B. Tech)"
69,1065222,2229.0,IIT Kharagpur,"Electrical Engineering with M. Tech. in anyofthelistedspecializations(5 Years, B. Tech - M. Tech Dual Deg.)"
52,1084110,2255.0,IIT Jodhpur,"Computer Science and  Engineering(4 Years, B. Tech)"
43,1024198,2296.5,IIT Bombay,"Energy Engineering (4 Years, B. Tech)"
65,1014110,2320.0,IIT Bhubaneswar,"Computer Science and  Engineering(4 Years, B. Tech)"
75,1064121,2344.0,IIT Kharagpur,"Instrumentation Engineering(4 Years, B. Tech)"
37,1104125,2396.0,IIT Madras,"Mechanical Engineering(4 Years, B. Tech)"
61,1124110,2413.0,IIT Patna,"Computer Science and  Engineering(4 Years, B. Tech)"
71,107410T,2477.5,IIT Hyderabad,"Electrical Engineering( IC Design and  Technology) (4 Years, B. Tech)"
55,1044117,2547.5,IIT Delhi,"Engineering Physics (4 Years, B. Tech)"
82,1044198,2634.0,IIT Delhi,"Energy Engineering (4 Years, B. Tech)"
70,1034110,2736.0,IIT Mandi,"Computer Science and  Engineering(4 Years, B. Tech)"
4,1105602,2803.0,IIT Madras,"Physics(5 Years, Bachelor of Science and  Master of Science ( Dual Degree))"
54,1144110,2814.0,IIT (ISM) Dhanbad,"Computer Science and  Engineering(4 Years, B. Tech)"
72,1164113,2856.0,IIT (BHU) Varanasi,"Electronics Engineering(4 Years, B. Tech)"
67,1094125,2878.5,IIT Kanpur,"Mechanical Engineering(4 Years, B. Tech)"
85,1084188,2981.5,IIT Jodhpur,"Artificial Intelligence and  Data Science (4 Years, B. Tech)"
79,1094202,2986.0,IIT Kanpur,"Economics(4 Years, Bachelor of Science)"
68,1154124,3001.5,IIT Ropar,"Mathematics and  Computing(4 Years, B. Tech)"
89,1015216,3084.0,IIT Bhubaneswar,"Computer Science and  Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
77,1064125,3097.0,IIT Kharagpur,"Mechanical Engineering(4 Years, B. Tech)"
74,1024109,3134.5,IIT Bombay,"Civil Engineering (4 Years, B. Tech)"
76,1074118,3197.0,IIT Hyderabad,"Engineering Science (4 Years, B. Tech)"
73,1044136,3224.0,IIT Delhi,"Production and  Industrial Engineering (4 Years, B. Tech)"
10,1104101,3336.0,IIT Madras,"Aerospace Engineering(4 Years, B. Tech)"
80,1054111,3421.5,IIT Indore,"Electrical Engineering (4 Years, B. Tech)"
99,1164111,3510.0,IIT (BHU) Varanasi,"Electrical Engineering (4 Years, B. Tech)"
83,1024128,3533.0,IIT Bombay,"Metallurgical Engineering and  Materials Science (4 Years, B. Tech)"
44,1214110,3549.5,IIT Tirupati,"Computer Science and  Engineering(4 Years, B. Tech)"
97,1124188,3571.0,IIT Patna,"Artificial Intelligence and  Data Science (4 Years, B. Tech)"
86,1194110,3579.0,IIT Goa,"Computer Science and  Engineering(4 Years, B. Tech)"
78,1134125,3717.0,IIT Roorkee,"Mechanical Engineering(4 Years, B. Tech)"
93,1045210,3828.5,IIT Delhi,"Chemical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
112,1034187,3884.0,IIT Mandi,"Data Science and  Engineering (4 Years, B. Tech)"
91,1114111,3914.0,IIT Gandhinagar,"Electrical Engineering (4 Years, B. Tech)"
95,1044193,4020.5,IIT Delhi,"Materials Engineering(4 Years, B. Tech)"
103,1064170,4064.5,IIT Kharagpur,"Industrial and  Systems Engineering(4 Years, B. Tech)"
88,1044109,4111.0,IIT Delhi,"Civil Engineering (4 Years, B. Tech)"
100,1014114,4123.0,IIT Bhubaneswar,"Electronics and  Communication Engineering (4 Years, B. Tech)"
84,1094107,4202.0,IIT Kanpur,"Chemical Engineering (4 Years, B. Tech)"
50,1104107,4291.0,IIT Madras,"Chemical Engineering (4 Years, B. Tech)"
106,1204110,4339.0,IIT Palakkad,"Computer Science and  Engineering(4 Years, B. Tech)"
98,1224110,4345.0,IIT Jammu,"Computer Science and  Engineering(4 Years, B. Tech)"
101,1145305,4384.0,IIT (ISM) Dhanbad,"Mathematics and  Computing(5 Years, Integrated Master of Technology)"
102,1094101,4422.0,IIT Kanpur,"Aerospace Engineering(4 Years, B. Tech)"
113,1064107,4431.0,IIT Kharagpur,"Chemical Engineering (4 Years, B. Tech)"
81,1105227,4484.0,IIT Madras,"Engineering Design (5 Years, B. Tech - M. Tech Dual Deg.)"
111,1065239,4485.0,IIT Kharagpur,"Mechanical Engineering with M. Tech. in any of the listed specializations(5 Years, B. Tech - M. Tech Dual Deg.)"
114,102520C,4541.0,IIT Bombay,"Environmental Science and  Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
115,1234110,4592.0,IIT Dharwad,"Computer Science and  Engineering(4 Years, B. Tech)"
87,1044105,4595.0,IIT Delhi,"Biotechnology and  Biochemical Engineering (4 Years, B. Tech)"
96,1134117,4643.5,IIT Roorkee,"Engineering Physics (4 Years, B. Tech)"
105,1074125,4700.5,IIT Hyderabad,"Mechanical Engineering(4 Years, B. Tech)"
130,1105201,4753.0,IIT Madras,"Aerospace Engineering(5 Years, B. Tech - M. Tech Dual Deg.)"
124,1134107,4802.5,IIT Roorkee,"Chemical Engineering (4 Years, B. Tech)"
110,1174125,4849.0,IIT Delhi,"Energy Engineering (4 Years, B. Tech)"
129,1065241,4851.0,IIT Kharagpur,"Industrial and  Systems Engineering with M. Tech. in Industrial and  Systems Engineering and  Management (5 Years, B. Tech - M. Tech Dual Deg.)"
125,1115217,4876.0,IIT Gandhinagar,"Electrical Engineering (5 Years, B. Tech - M. Tech Dual Deg.)"
